CFR_Part,Name_of_Part,Year,Next_Edition,Name_of_Part_Next_Edition,lv_distances,presumed_same,same_next_edition,label1,label2
201,Advances and discounts by Federal Reserve Banks,1959,1963,Advances and discounts by Federal Reserve Banks.,1,TRUE,201,12 CFR 201 (1959),12 CFR 201 (1963)
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1959,1963,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1,TRUE,202,12 CFR 202 (1959),12 CFR 202 (1963)
203,Acceptance by member banks of drafts or bills of exchange,1959,1963,Acceptance by member banks of drafts or bills of exchange.,1,TRUE,203,12 CFR 203 (1959),12 CFR 203 (1963)
204,Reserves of member banks,1959,1963,Reserves of member banks.,1,TRUE,204,12 CFR 204 (1959),12 CFR 204 (1963)
205,Purchase of warrants,1959,1963,Purchase of warrants.,1,TRUE,205,12 CFR 205 (1959),12 CFR 205 (1963)
206,Trust powers of national banks,1959,1963,NA,NA,NA,NA,12 CFR 206 (1959),12 CFR NA (1963)
207,Collection of noncash items,1959,1963,Collection of noncash items.,1,TRUE,207,12 CFR 207 (1959),12 CFR 207 (1963)
208,Membership of State banking institutions in the Federal Reserve System,1959,1963,Membership of State banking institutions in the Federal Reserve System.,1,TRUE,208,12 CFR 208 (1959),12 CFR 208 (1963)
209,Issue and cancellation of capital stock of Federal Reserve banks,1959,1963,Issue and cancellation of capital stock of Federal Reserve banks.,1,TRUE,209,12 CFR 209 (1959),12 CFR 209 (1963)
210,Check clearing and collection,1959,1963,Check clearing and collection.,1,TRUE,210,12 CFR 210 (1959),12 CFR 210 (1963)
211,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,1959,1963,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act.,1,TRUE,211,12 CFR 211 (1959),12 CFR 211 (1963)
212,Interlocking bank directorates under the Clayton Act,1959,1963,Interlocking bank directorates under the Clayton Act.,1,TRUE,212,12 CFR 212 (1959),12 CFR 212 (1963)
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1959,1963,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act.",1,TRUE,213,12 CFR 213 (1959),12 CFR 213 (1963)
214,Relations with foreign banks and bankers,1959,1963,Relations with foreign banks and bankers.,1,TRUE,214,12 CFR 214 (1959),12 CFR 214 (1963)
215,Loans to executive officers of member banks,1959,1963,Loans to executive officers of member banks.,1,TRUE,215,12 CFR 215 (1959),12 CFR 215 (1963)
216,Holding company affiliates; voting permits,1959,1963,Holding company affiliates; voting permits.,1,TRUE,216,12 CFR 216 (1959),12 CFR 216 (1963)
217,Payment of interest on deposits,1959,1963,Payment of interest on deposits.,1,TRUE,217,12 CFR 217 (1959),12 CFR 217 (1963)
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1959,1963,"Relations with dealers in securities under section 32, Banking Act of 1933.",1,TRUE,218,12 CFR 218 (1959),12 CFR 218 (1963)
219,Industrial loans by Federal Reserve banks,1959,1963,NA,NA,NA,NA,12 CFR 219 (1959),12 CFR NA (1963)
220,"Credit by brokers, dealers, and members of national securities exchanges",1959,1963,"Credit by brokers, dealers, and members of national securities exchanges.",1,TRUE,220,12 CFR 220 (1959),12 CFR 220 (1963)
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1959,1963,Loans by banks for the purpose of purchasing or carrying registered stocks.,1,TRUE,221,12 CFR 221 (1959),12 CFR 221 (1963)
222,Bank holding companies,1959,1963,Bank holding companies.,1,TRUE,222,12 CFR 222 (1959),12 CFR 222 (1963)
224,Discount rates,1959,1963,Discount rates.,1,TRUE,224,12 CFR 224 (1959),12 CFR 224 (1963)
261,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",22,FALSE,261,12 CFR 261 (1959),12 CFR 261 (1963)
262,Rules of procedure,1959,1963,Rules of procedure.,1,TRUE,262,12 CFR 262 (1959),12 CFR 262 (1963)
263,Rules of practice for formal hearings,1959,1963,Rules of practice for formal hearings.,1,TRUE,263,12 CFR 263 (1959),12 CFR 263 (1963)
270,Open market operations of Federal Reserve Banks,1959,1963,Open market operations of Federal Reserve Banks.,1,TRUE,270,12 CFR 270 (1959),12 CFR 270 (1963)
271,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",22,FALSE,271,12 CFR 271 (1959),12 CFR 271 (1963)
272,Rules on procedure,1959,1963,Rules of procedure.,2,TRUE,272,12 CFR 272 (1959),12 CFR 272 (1963)
281,Statements of policy,1959,1963,Statements of policy.,1,TRUE,281,12 CFR 281 (1959),12 CFR 281 (1963)
